Year,Total
1960,2.569
1961,2.58
1962,2.686
1963,2.833
1964,2.995
1965,3.13
1966,3.288
1967,3.393
1968,3.566
1969,3.78
1970,4.053
1971,4.208
1972,4.376
1973,4.614
1974,4.623
1975,4.596
1976,4.864
1977,5.016
1978,5.074
1979,5.357
1980,5.301
1981,5.138
1982,5.094
1983,5.075
1984,5.258
1985,5.417
1986,5.583
1987,5.725
1988,5.936
1989,6.066
1990,6.074
1991,6.142
1992,6.078
1993,6.07
1994,6.174
1995,6.305
1996,6.448
1997,6.556
1998,6.576
1999,6.561
2000,6.733
2001,6.893
2002,6.994
2003,7.376
2004,7.743
2005,8.042
2006,8.336
2007,8.503
2008,8.776
2009,8.697
2010,9.128
2011,9.503
2012,9.673
2013,9.773
2014,9.855
