Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1970,1970,gigagrams,0.175629412,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1971,1971,gigagrams,0.190489423,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1972,1972,gigagrams,0.216716344,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1973,1973,gigagrams,0.24556893,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1974,1974,gigagrams,0.284259095,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1975,1975,gigagrams,0.303520941,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1976,1976,gigagrams,0.34498729,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1977,1977,gigagrams,0.379939631,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1978,1978,gigagrams,0.432730317,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1979,1979,gigagrams,0.77391696,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1980,1980,gigagrams,0.828435223,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1981,1981,gigagrams,0.943691792,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1982,1982,gigagrams,0.102922426,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1983,1983,gigagrams,0.1076834,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1984,1984,gigagrams,0.115713681,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1985,1985,gigagrams,0.123078267,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1986,1986,gigagrams,0.107836396,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1987,1987,gigagrams,0.118376496,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1988,1988,gigagrams,0.121371647,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1989,1989,gigagrams,0.123264119,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1990,1990,gigagrams,0.137719037,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1991,1991,gigagrams,0.151991681,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1992,1992,gigagrams,0.234542301,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1993,1993,gigagrams,0.225942526,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1994,1994,gigagrams,0.239437899,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1995,1995,gigagrams,0.245263732,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1996,1996,gigagrams,0.253620967,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1997,1997,gigagrams,0.248290877,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1998,1998,gigagrams,0.248316991,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1999,1999,gigagrams,0.24399213,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2000,2000,gigagrams,0.236759614,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2001,2001,gigagrams,0.239831662,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2002,2002,gigagrams,0.269394164,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2003,2003,gigagrams,0.259612477,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2004,2004,gigagrams,0.269295322,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2005,2005,gigagrams,0.274797214,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,2006,2006,gigagrams,0.288171336,A,"Aggregate, may include official, semi-official, estimated or calculated data"
