Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1970,1970,gigagrams,17562.9412,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1971,1971,gigagrams,19048.9423,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1972,1972,gigagrams,21671.6344,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1973,1973,gigagrams,24551.6893,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1974,1974,gigagrams,28425.9095,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1975,1975,gigagrams,30352.0941,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1976,1976,gigagrams,34498.729,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1977,1977,gigagrams,37993.9631,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1978,1978,gigagrams,43273.0317,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1979,1979,gigagrams,77391.696,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1980,1980,gigagrams,82843.5223,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1981,1981,gigagrams,94369.1792,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1982,1982,gigagrams,102922.4258,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1983,1983,gigagrams,107683.4001,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GN,Energy Use,5000,World,723110,Emissions (CO2eq) (Energy),6807,Electricity,1984,1984,gigagrams,115713.6806,A,"Aggregate, may include official, semi-official, estimated or calculated data"
