nvm,CSIRO Adjusted Sea Level,Year,Upper Error Bound,NOAA Adjusted Sea Level
13/05/1905,4.503937003,1960,4.763779523,
,4.748031491,1961,5.007874011,
,4.543307082,1962,4.803149601,
,4.480314956,1963,4.740157475,
,4.169291334,1964,4.433070862,
,4.610236216,1965,4.874015743,
,4.397637791,1966,4.65748031,
,4.452755901,1967,4.708661413,
,4.484251964,1968,4.748031491,
,4.751968499,1969,5.02755905,
,4.67716535,1970,4.9527559,
,4.881889759,1971,5.153543302,
,5.240157475,1972,5.511811018,
,5.003937003,1973,5.271653538,
,5.472440939,1974,5.740157474,
,5.409448813,1975,5.673228341,
,5.370078735,1976,5.63779527,
,5.303149601,1977,5.56299212,
,5.555118105,1978,5.818897632,
,5.362204719,1979,5.625984246,
,5.598425191,1980,5.854330703,
,6.086614167,1981,6.342519679,
15/03/1982,5.858267711,1982,6.106299206,
15/03/1983,6.188976372,1983,6.444881883,
15/03/1984,6.153543301,1984,6.401574797,
15/03/1985,5.74803149,1985,5.996062986,
15/03/1986,5.771653537,1986,6.019685033,
15/03/1987,5.795275585,1987,6.039370073,
15/03/1988,5.980314955,1988,6.22834645,
15/03/1989,6.157480309,1989,6.409448812,
15/03/1990,6.232283458,1990,6.492125978,
15/03/1991,6.334645663,1991,6.594488182,
15/03/1992,6.35826771,1992,6.622047237,
15/03/1993,6.291338576,1993,6.555118104,6.297493046
15/03/1994,6.499999993,1994,6.763779521,6.310933553
15/03/1995,6.618110229,1995,6.881889757,6.452568661
15/03/1996,6.787401568,1996,7.051181095,6.62763131
15/03/1997,7.066929127,1997,7.330708654,6.733920367
15/03/1998,6.665354324,1998,6.937007867,6.865806069
15/03/1999,7.011811016,1999,7.287401567,6.848689771
15/03/2000,7.062992119,2000,7.334645662,6.920582014
15/03/2001,7.287401567,2001,7.555118103,7.087460011
15/03/2002,7.381889756,2002,7.653543299,7.319697525
15/03/2003,7.759842512,2003,8.035433063,7.488352718
15/03/2004,7.740157472,2004,8.015748023,7.507932839
15/03/2005,7.74409448,2005,8.015748023,7.644563144
15/03/2006,7.917322827,2006,8.18897637,7.697420009
15/03/2007,7.996062984,2007,8.279527551,7.70214715
15/03/2008,8.350393692,2008,8.622047235,7.90736541
15/03/2009,8.586614164,2009,8.862204715,8.04635409
15/03/2010,8.901574794,2010,9.185039361,8.122972567
15/03/2011,8.96456692,2011,9.267716526,8.053065004
15/03/2012,9.326771644,2012,9.661417313,8.457057629
15/03/2013,8.980314951,2013,9.338582668,8.546648227
15/03/2014,,2014,,8.663700393
