,,,,,,,,,Year,,Value,,
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1961,1961,°C,0.454,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1962,1962,°C,0.18,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1963,1963,°C,0.178,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1964,1964,°C,-0.385,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1965,1965,°C,-0.403,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1966,1966,°C,0.266,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1967,1967,°C,-0.012,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1968,1968,°C,0.056,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1969,1969,°C,-0.555,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1970,1970,°C,0.16,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1971,1971,°C,0.035,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1972,1972,°C,-0.45,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1973,1973,°C,0.237,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1974,1974,°C,-0.171,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1975,1975,°C,0.388,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1976,1976,°C,-0.353,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1977,1977,°C,0.366,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1978,1978,°C,-0.174,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1979,1979,°C,0.032,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1980,1980,°C,0.321,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1981,1981,°C,0.828,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1982,1982,°C,-0.092,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1983,1983,°C,0.695,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1984,1984,°C,0.144,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1985,1985,°C,-0.31,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1986,1986,°C,0.278,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1987,1987,°C,0.176,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1988,1988,°C,0.622,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1989,1989,°C,0.597,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1990,1990,°C,0.823,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1991,1991,°C,0.542,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1992,1992,°C,0.3,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1993,1993,°C,0.376,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1994,1994,°C,0.502,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1995,1995,°C,1.207,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1996,1996,°C,0.288,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1997,1997,°C,0.762,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1998,1998,°C,0.974,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,1999,1999,°C,0.906,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2000,2000,°C,1.081,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2001,2001,°C,0.893,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2002,2002,°C,1.108,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2003,2003,°C,0.924,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2004,2004,°C,1.077,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2005,2005,°C,1.298,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2006,2006,°C,1.015,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2007,2007,°C,1.642,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2008,2008,°C,1.163,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2009,2009,°C,0.82,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2010,2010,°C,1.136,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2011,2011,°C,1.046,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2012,2012,°C,1.427,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2013,2013,°C,1.048,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2014,2014,°C,1.111,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2015,2015,°C,1.582,Fc,Calculated data
ET,Temperature change,5848,Annex I countries,7271,Temperature change,7020,Meteorological year,2016,2016,°C,2.046,Fc,Calculated data
