Year,Population
1960,3.0E+00
1961,3.1E+00
1962,3.1E+00
1963,3.2E+00
1964,3.3E+00
1965,3.3E+00
1966,3.4E+00
1967,3.5E+00
1968,3.5E+00
1969,3.6E+00
1970,3.7E+00
1971,3.8E+00
1972,3.8E+00
1973,3.9E+00
1974,4.0E+00
1975,4.1E+00
1976,4.1E+00
1977,4.2E+00
1978,4.3E+00
1979,4.4E+00
1980,4.4E+00
1981,4.5E+00
1982,4.6E+00
1983,4.7E+00
1984,4.8E+00
1985,4.8E+00
1986,4.9E+00
1987,5.0E+00
1988,5.1E+00
1989,5.2E+00
1990,5.3E+00
1991,5.4E+00
1992,5.5E+00
1993,5.5E+00
1994,5.6E+00
1995,5.7E+00
1996,5.8E+00
1997,5.9E+00
1998,6.0E+00
1999,6.0E+00
2000,6.1E+00
2001,6.2E+00
2002,6.3E+00
2003,6.4E+00
2004,6.4E+00
2005,6.5E+00
2006,6.6E+00
2007,6.7E+00
2008,6.8E+00
2009,6.8E+00
2010,6.9E+00
2011,7.0E+00
2012,7.1E+00
2013,7.2E+00
2014,7.3E+00
2015,7.3E+00
